page_content,book,page,notes
"Regression problems are related to but different from classification and categorization problems. Since a regression involves finding a formula that can be used to express a continuous value, it is well suited to solving problems like this: Given[1,2,4,8,16,32,64,128,?] Which comes next in this series? Hopefully, you can look at that list of numbers and readily identify that each value is double the preceding value in the list. In this case, we have used integers, which makes this easy to see, but this same relationship could hold true for any list of numbers. A regression would reveal that the general formula would be: 𝑓(𝑥) = 2𝑥 The example here is very simple and we can quickly identify a specific formula that gives every value exactly, even values that do not yet appear. This is at the heart of what we are attempting to do with a regression. We are attempting to find some function 𝑓(𝑥) that best fits the data. 9",Book 4_2036060.pdf,10,"**Regression Problems**
=====================

### Definition

* **Regression problems** are related to but different from classification and categorization problems.
* Involve finding a formula to express a **continuous value**.

### Example: Number Sequence
-------------------------

* Given the sequence: [1, 2, 4, 8, 16, 32, 64, 128, ?]
* Each value is **double the preceding value** in the list.
* The general formula is: **𝑓(𝑥) = 2𝑥**
* This example is simple, but the same relationship can hold true for any list of numbers.

### Goal of Regression
---------------------

* Attempting to find a function **𝑓(𝑥)** that **best fits the data**.
* The goal is to find a formula that can be used to express a continuous value."
"Translating this into something that we can apply in the real world, consider the graph in the slide. If this graph represents the number of bytes of data observed passing over the network at different time intervals, could we work out some function that best fits this data? The chances that the function predicts each value exactly is quite low. Even if it were possible to do so, it might not be wise. We’ll look at why this leads to trouble after we solve the linear regression. Still, finding some function that generalizes this data would be useful. An important question might be, “How quickly is our volume of data increasing?” One of the reasons that we might care about this is for future planning and forecasting. You would likely prefer to predict when your organization will potentially exceed current network capacity and plan upgrades ahead of time. Another reason such a function might be useful would be to look for indications of threats. Could a massive and unexpected spike in data flow indicate an exfiltration? Could the number of bytes accessed per hour on our file server indicate that ransomware is currently encrypting the file server? 10",Book 4_2036060.pdf,11,"Here are the advanced bullet-point notes summarizing the topic:
### **Linear Regression and Network Data Analysis**

* **Motivation**: Find a function that generalizes network data to predict future trends and identify potential issues
* **Goal**: Determine a function that best fits the data representing the number of bytes of data observed over time
* **Importance**:
	+ **Future planning and forecasting**: Predict when network capacity will be exceeded and plan upgrades accordingly
	+ **Threat detection**: Identify unexpected spikes in data flow as indicators of potential security threats (e.g., exfiltration) or malware infections (e.g., ransomware)
* **Challenges**:
	+ **Limited accuracy**: The function may not predict each value exactly
	+ **Overfitting**: A function that fits the data too closely may not generalize well to new, unseen data
* **Next Steps**: Solve the linear regression problem to find a function that balances accuracy and generalizability"
"Optimizing by Minimizing Loss Intuitively, we could simply try to draw a line that represents the average number of bytes of increase. While we can visually estimate where that line should go, a much better approach would be for us to apply some mathematics to the problem. The most common way to solve this problem, linear regression, is to determine what the average error is between our line that approximates the data and the actual data. When we say error here, all that it means is the difference between the approximation and the actual data. For example, imagine that our estimate is that hour 10 will have 2.4x104 bytes. Yet, the actual measured number of bytes comes in at 3.6x104. We can work out the difference between these two, which represents the amount of error. What we’d really like to do is work out the formula for a line that minimizes the error over the length of the entire line rather than for a specific point. We cannot simply add up the amount of error for every point. What if one point is off by +1,000,000, but another point is off by -1,000,000? If we simply add those together, we would inaccurately conclude that there was no error at all! The function most frequently used to measure this error, or loss, is Mean Squared Error: 1 𝑛𝑛 ∑ 𝑖=0(𝑦𝑖− ̂ 𝑦)2 This should look very familiar at this point. For example, you should immediately look at (𝑦𝑖− ̂ 𝑦) and think, “That looks like a distance!” If you did, that’s awesome! If you didn’t, that’s OK… but 11",Book 4_2036060.pdf,12,"Here are the notes in advanced bullet-point markdown format:
##### **Optimizing by Minimizing Loss**

* **Intuition vs. Mathematical Approach**
	+ Can visually estimate the average increase in bytes, but a mathematical approach is better
	+ Linear regression: determine average error between the approximated line and actual data
* **Error**
	+ Difference between the approximation and actual data
	+ Example: estimated 2.4x10^4 bytes vs. actual 3.6x10^4 bytes, error = 3.6x10^4 - 2.4x10^4
* **Minimizing Error**
	+ Want to find a formula for a line that minimizes error over the entire length
	+ Can't simply add up errors, as positive and negative errors could cancel out
* **Mean Squared Error (MSE)**
	+ Frequently used function to measure error or loss
	+ Formula: 1/n \* ∑(yi - ŷ)^2
	+ **Distance Analogy**: (yi - ŷ) represents a distance
	+ MSE is a measure of the average distance between actual and predicted values squared"
"you should see it now. It is understandable if you are a bit thrown off by ̂ 𝑦, which is a new symbol for us. Even though mathematics should really be a universal language, and even though there are con- ventions for how certain formulas and other things are written, you will find that different fields will notate the same type of formula in different ways. If we were doing something with Linear Algebra at the moment, ̂ 𝑦would likely be interpreted as, “the unit vector along axis 𝑦.” In this case, however, machine learning borrows from statistical notation. In the field of statistics, we use 𝑦to indicate an outcome. In the Mean Squared Error formula, 𝑦𝑖 represents the ground-truth value of 𝑦that corresponds to 𝑥𝑖. Thê 𝑦represents our predicted value. In other words, ̂ 𝑦represents the output of our prediction function, our neural network, or whatever it is that we are using to generate values. To summarize this, 𝑦𝑖− ̂ 𝑦finds the difference, or linear distance, between our prediction and ground truth. Why is this value being squared? Consider this: 𝑛 ∑ 𝑖=1(𝑦𝑖− ̂ 𝑦) This expresses the sum of the differences between the ground-truth values and the predictions. What if we had the following values: y y hat Difference 2 1 1 3 4 -1 4 5 -1 5 5 0 6 5 1 7 9 -2 8 6 2 What is the sum of these differences? 0. Does this mean that our function perfectly predicts the data? While it might imply this, clearly our function isn’t perfect. Back to our previous question: Why is the difference squared? By squaring each difference, we preserve the magnitude of the difference. In practical terms, this means that our error function provides us with a measure of the error, or of loss, but there are no units attached to this value. The value simply represents an arbitrary measure of the error. The number is only meaningful in the context of another loss value generated using the same formula from the same dataset. The overall strategy of a linear regression algorithm is to minimize the value of this loss function. 12",Book 4_2036060.pdf,13,"Here are the notes on the provided passage in advanced bullet-point markdown format:

**Mean Squared Error (MSE) Formula**
================================================

**Symbols and Notations**
-------------------------

* `y`: represents the outcome or ground-truth value
* `̂y`: represents the predicted value or output of the prediction function/neural network
* `y_i`: represents the ground-truth value corresponding to `x_i`

**Mean Squared Error Formula**
-----------------------------

* MSE = ∑[(yi - ̂yi)^2]
* `yi - ̂yi`: finds the difference, or linear distance, between the ground-truth value and the predicted value

**Why is the difference squared?**
--------------------------------

* Squaring each difference preserves the magnitude of the difference
* Provides a measure of the error or loss without units
* The value is only meaningful when compared to another loss value generated using the same formula from the same dataset

**Linear Regression Algorithm**
------------------------------

* The overall strategy is to minimize the value of the MSE loss function"
"Polyfit The NumPy library provides the very useful polyfit() function. This function allows us to pass in a set of𝑥and𝑦values. NumPy then performs a regression analysis, working out a function that best fits the data by minimizing the loss between the ground-truth data provided and the predicted data that the function generates. This function allows us to specify that we would like to generate a function with an arbitrary degree or order1. What does this mean? Consider the following functions: 𝑓(𝑥) = 𝑥+1 𝑓(𝑥) = −2𝑥2+2𝑥−1 𝑓(𝑥) = 4𝑥3+𝑥2+𝑥−9 𝑓(𝑥) = 9𝑥6+2𝑥3−1 2𝑥−1 These functions are of varying degrees. The first function is a first-degree function. The second is second-degree, the third is third-degree, and the fourth is a sixth-degree equation. The degree of an equation is the highest power to which the independent variable2is raised. 1We are being somewhat loose here. Technically, we are speaking about the *degree* of the equation. Order is more typically applied to differential equations and expresses the highest order derivative within the equation. 2𝑥, in this case. 13",Book 4_2036060.pdf,14,"Here are the notes on the topic of Polyfit in the NumPy library:

**Polyfit Function in NumPy**
================================

### Description

* The `polyfit` function in the NumPy library performs a regression analysis on a set of x and y values.
* It generates a function that best fits the data by minimizing the loss between the ground-truth data and the predicted data.

### Functionality

* The function allows the specification of an arbitrary degree or order.
* The degree of the equation is the highest power to which the independent variable is raised.

### Examples of Functions with Varying Degrees
------------------------------------------

* **First-degree function**: 𝑓(𝑥) = 𝑥 + 1
* **Second-degree function**: 𝑓(𝑥) = −2𝑥² + 2𝑥 − 1
* **Third-degree function**: 𝑓(𝑥) = 4𝑥³ + 𝑥² + 𝑥 − 9
* **Sixth-degree function**: 𝑓(𝑥) = 9𝑥⁶ + 2𝑥³ − 1/2𝑥 − 1

### Note on Degree vs. Order
-------------------------

* The **degree** of an equation refers to the highest power to which the independent variable is raised.
* **Order** is typically applied to differential equations and expresses the highest order derivative within the equation."
"We can use the polyfit function to come up with an array of two values representing the coefficients of a first-degree equation that best fits our data. Those two values can be plugged into the standard formula for a line as the coefficients for each term. This means that we now know the slope and the y-intercept for the line that NumPy thinks minimizes the error (or loss) between the approximation and the actual data. NumPy provides the poly1d() convenience function that accepts the array of coefficients and returns a function that can be used to calculate values. This is headed somewhere really big. We’re not ready to tell you where it’s heading or how it applies, so let’s just recap what you should know right now. Linear regression is an algorithm that is used to calculate the coefficients that represent the formula for a line that approximates the relationship between two values. This line is the best fit for the data. We know this because this line minimizes the error, or loss, between the approximation and the actual data over the entire length of the line. 14",Book 4_2036060.pdf,15,"**Linear Regression Notes**
==========================

**Key Concepts**
---------------

* **Linear Regression**: an algorithm that calculates coefficients for a line that approximates the relationship between two values
* **Best Fit Line**: the line that minimizes the error (or loss) between the approximation and the actual data

**NumPy Functions**
-----------------

* `polyfit`: returns an array of coefficients for a first-degree equation that best fits the data
* `poly1d`: accepts the array of coefficients and returns a function to calculate values

**Using Polyfit and Poly1d**
-------------------------

* `polyfit` gives two coefficients for a first-degree equation
* These coefficients can be plugged into the standard formula for a line to get the **slope** and **y-intercept**
* `poly1d` can be used to calculate values using the coefficients

**Recap**
--------

* Linear regression is used to find the best fit line for data
* This line minimizes the error between the approximation and actual data over the entire length of the line"
"Before we jump straight to overfitting, let’s think about this a bit more deeply. What we’ve done so far is linear regression, which by definition uses a straight line. Looking at the data, though, it is apparent that a straight line is unlikely to capture what appears to be a non-linear growth trend. Over time, the error will likely become larger and larger. What if we used higher-order equations to attempt to model the data? This seems like a great intuition! What if we tried a second- or third-order equation? Would that better represent the data? To try this, we will make use of the polyfit function again. Previously, we asked it to create a first- order equation (a line). Let’s ask it to create a second-, a third-, and a fifteenth-order equation to represent our data! The line wasn’t bad, so clearly more or higher orders must be better! You can see that in the notebook, we have started with a numerical approach. Using the same loss function, we ask it to compare the loss or error for our first-, second-, third-, and fifteenth-order equations. We can see that the error or loss is definitely going down!! That must be good, right? Let’s have a look at the graphs of these functions. 15",Book 4_2036060.pdf,16,"Here are the notes on the provided passage in advanced bullet-point format:

**Overfitting and Polynomial Regression**
================================================

* **Limitations of Linear Regression**: Linear regression uses a straight line to model data, which may not capture non-linear growth trends.
* **Intuition**: Using higher-order equations (e.g., second- or third-order) to better represent non-linear data.
* **Polynomial Regression**: Use of polyfit function to create higher-order equations:
	+ **First-order equation**: A line (previously used)
	+ **Higher-order equations**: Second-, third-, and fifteenth-order equations to model data
* **Error Analysis**: Comparing loss or error for different order equations:
	+ **Error decreases**: Loss or error decreases as order of equation increases
	+ **But is it good?**: Decreasing error does not necessarily imply better modeling
* **Visualizing Functions**: Graphing the functions to visualize the relationships

Note: The notes strictly focus on the provided passage and do not include any external information."
"The second-order equation definitely looks better. It is now capturing at least some of the data to the left, though it seems a bit high at hour ero. More importantly, we can see that as time goes by, this is a much better approximation of the data! It is clearly curving up, following the growth trend in our ground-truth data more closely. 16",Book 4_2036060.pdf,17,"Here are the notes in advanced bullet-point markdown format:

**Second-Order Equation**
==========================

* **Improvement over previous equation**: Captures at least some of the data to the left
* **Areas for improvement**:
	+ High at hour zero (hour ero)
* **Strengths**:
	+ **Better approximation of data**: Follows growth trend in ground-truth data more closely
	+ **Captures curvature**: Curves up, matching growth trend in data"
"If a second-order polynomial is better, a third-order must be even better. Looking at the graph, it is! Notice that the dotted line drops down toward ero near hour ero, and it more closely follows the increase over time! If a third-order equation is this much better, let’s just crank this way up! 17",Book 4_2036060.pdf,18,"**Polynomial Regression Notes**
=============================

### Comparison of Polynomial Orders
#### Second-Order vs. Third-Order Polynomials

* A second-order polynomial is not sufficient, implying that a third-order polynomial is a better fit.
* The graph shows that the third-order polynomial (dotted line) is a closer fit to the data, especially near hour 0.
* The third-order polynomial **more closely follows the increase over time**.

### Implication
* If a third-order equation is significantly better, it is reasonable to assume that an even higher-order polynomial (e.g., 17th-order) would be an even better fit."
"Our fifteenth-order1equation, however, looks less promising. While it appears to be doing good things toward hour ero, the farther we go to the right, the more the function begins to oscillate in a way that look less and less correct. Finally, it seems to shoot off to infinity! It should be apparent that the fifteenth-order equation is nota good selection for future predictions with this dataset. Even so, recall that this function had the lowest overall error. 1We have stopped at a fifteenth-order equation because Python starts to experience overflows with this data at this point on a 64-bit system. 18",Book 4_2036060.pdf,19,"**Evaluating the Fifteenth-Order Equation**
=============================================

* The fifteenth-order equation appears to be problematic for predicting future values:
	+ At first, it seems to perform well, but as it progresses, it starts to oscillate and becomes less accurate.
	+ The function eventually shoots off to infinity, indicating that it is not suitable for making future predictions with this dataset.
* Despite having the lowest overall error, the fifteenth-order equation is not a good choice for future predictions.
* **Limitations of Python**: Python experiences overflows with this data at the fifteenth-order equation on a 64-bit system, which is why we stopped at this point."
Lab 1: Linear Regression It’s time to start applying what we’re learning. Please open Jupyter Lab and locate the Linear Re- gression lab in the Day 4 folder. Follow along with your instructor as he or she solves the challenges presented. 19,Book 4_2036060.pdf,20,"Here are the notes on the provided passage in advanced markdown format:

**Lab 1: Linear Regression**

* **Objective:** Apply knowledge of Linear Regression in a Jupyter Lab environment
* **Instructions:**
	+ Open Jupyter Lab
	+ Locate the Linear Regression lab in the Day 4 folder
	+ Follow along with the instructor as they solve challenges presented"
"As interesting as the polyfit() function and these types of regressions are, they are not neural networks. Even so, our time has been well spent. There are some important lessons to be drawn from linear regressions. We will apply these lessons when training neural networks. Linear regression also provides a wonderfully easy-to-understand illustration of what happens when we overfit or overtrain. 20",Book 4_2036060.pdf,21,"**Linear Regression vs. Neural Networks**
==========================================

* **Linear Regression**:
	+ Not a neural network
	+ Still has important lessons to be applied when training **Neural Networks**
* **Importance of Linear Regression**:
	+ Provides an easy-to-understand illustration of:
		- **Overfitting**
		- **Overtraining**
* **Key Takeaways**:
	+ Understanding linear regression is essential for training neural networks"
"Neural Networks When we oom way in and look at the behavior of the fifteenth-order function generated by poly- fit() , we can get a much better feeling, or intuition, about what’s happening. Have you heard the English expression, “Missing the forest for the trees?” In a sense, that’s what has happened. This fifteenth-order function really isn’t approximating the entirety of the data anymore. Instead, it is just minimizing the error at specific points in our data. To be fair, you might read that and think, “Well, isn’t that what it’s supposed to do?” Yes. However, the larger goal is to generate a function that approximates the overall behavior rather than finding a function that hits the majority of the points exactly. Thinking of the analogy about forests and trees, it is so focused on the trees that it can no longer see the forest or the overall behavior. Of course, the function can’t seeanything at all. The behavior that we are observing, though, can be described as overfitting. Our function is trying to hit every single point that it can rather than trying to approximate the overall behavior of the data. When working with machine learning algorithms, if we overtrain or overfit, our model will be exceptionally good at properly categorizing, classifying, or predicting the training data, but it will perform very poorly with real-world data. This tells us a couple of things. First, overfitting is bad! If we overfit, we can have a model that seems great in the lab but works very poorly in practice. This doesn’t always mean that the model itself is bad. That same model may work far better if we stop the training process sooner. There’s another thing this tells us. When we are monitoring the loss function, we should probably stop training when the error or loss stops changing or even increases. When the loss number stops 21",Book 4_2036060.pdf,22,"Here are the notes on Neural Networks in advanced markdown format:
### Overfitting in Neural Networks
#### Definition of Overfitting
* **Overfitting**: when a model is too complex and tries to fit every point in the training data, rather than approximating the overall behavior.

#### Consequences of Overfitting
* **Poor performance on real-world data**: a model that is overfit may perform well on the training data but poorly on new, unseen data.
* **Not necessarily a bad model**: stopping the training process sooner may improve the model's performance.

#### Identifying Overfitting
* **Monitor the loss function**: stop training when the error or loss stops changing or increases.

#### Analogy: Missing the Forest for the Trees
* Focusing too much on individual points (trees) rather than the overall behavior (forest) can lead to overfitting.
* A model that overfits is like trying to hit every single point exactly, rather than approximating the overall behavior of the data.

#### Machine Learning Goals
* The larger goal is to generate a function that approximates the overall behavior of the data, rather than finding a function that hits the majority of the points exactly."
"decreasing, chances are1that we are heading into the realm of overfitting. 1We are not stating a rule here. There are situations where you may choose to continue training even when the loss is starting to increase! We will encounter such an example in our capstone. 22",Book 4_2036060.pdf,23,"Here are the notes on the topic in advanced bullet-point markdown format:

**Overfitting**
==============

* **Decreasing chances**: heading into the realm of overfitting when the loss starts increasing
* **Not a hard rule**: there are situations where continuing training is suitable even when the loss increases
* **Example in capstone**: an example will be encountered in the capstone project

Note: The notes only include the essential information from the provided text, focusing on the key concepts and removing any extraneous language. The critical aspects of the passage are summarized in concise bullet points, with **bolded** vocabulary terms and key concepts."
"Just to drive this point home, take a look at the predictive capability of our fifteenth-order equation. In the short term, it had the lowest overall error. If we look out to 30 hours after the sample data, you can see that it predicts that the network data will plummet to ero bytes somewhere around hour 78! This is clearly wrong. 23",Book 4_2036060.pdf,24,"Here are the notes in advanced bullet-point markdown format:

**Predictive Capability of Fifteenth-Order Equation**
=====================================================

* The fifteenth-order equation has a **low overall error** in the short term
* However, its predictive capability is **inaccurate** in the long term
* According to the equation, the network data is predicted to **plummet to 0 bytes** around hour 78
* This prediction is **clearly wrong**"
"Let’s summarize where we are so far and some key takeaways. Linear regression is an algorithm or process that is used to attempt to find a line that best fits a set of data points. This means that we are attempting to minimize the error, or the loss, between the actual data and the line itself. Using higher-order functions can sometimes approximate or fit the data much better. This leads to a lower loss, or error. Whether we are using a linear regression or a higher-order regression, when the computer uses the algorithm to revise the coefficients used in the function to minimize the loss, this process is called learning. There is a risk that we can cross over from approximating (or fitting) the data to overfitting, which simply means that we now fit our training data so well that we are unlikely to have captured useful correlations, making the model very unreliable for predicting future events. 24",Book 4_2036060.pdf,25,"Here are the notes on Linear Regression and Key Takeaways in advanced markdown format:
### Linear Regression and Key Takeaways
##### Definition of Linear Regression
* **Linear Regression**: an algorithm or process that finds a line that best fits a set of data points
* **Goal**: minimize the **error** or **loss** between the actual data and the line

##### Importance of Higher-Order Functions
* Using **higher-order functions** can approximate or fit the data much better, leading to a **lower loss** or **error**

##### Learning Process
* **Learning**: the process of revising the coefficients used in the function to minimize the **loss**
* **Algorithm**: uses the learning process to find the best fit for the data

##### Risk of Overfitting
* **Overfitting**: when the model fits the training data too well, capturing non-useful correlations, making it unreliable for predicting future events
* **Risk**: crossing over from approximating the data to overfitting"
"When we start building neural networks, we are striving to balance a number of competing problems. One of these is that we want to provide the model for all of the important features from our data so that it can best learn how to model the behavior. Especially when starting out, this can lead to us throwing every scrap of data that we can find at the model. This isn’t a good approach. On the one hand, this will make the model more complex and the model will require significantly more processing for the same problem. On the other hand, we are likely including irrelevant data. This can lead to the model discovering apparent correlations that are coincidental rather than real. The result can be that our model appears to work quite well, but under the hood, it is using faulty criteria1for its decision making. Bias vs. Variance Another of the issues that we are trying to balance is that of Bias. Bias is a measure of how well we learn versus consistency. If our model has high bias, it means that the training might take a long time, the overall accuracy on the training data might not be great, but it is very consistent in its predictions. To be specific, imagine a model that has a 75% accuracy after training. Try as we might, we cannot get it to improve its accuracy through additional learning. However, the model accurately produces results on any real-world data that we pass into between 74% and 76% of the time. If the model has low bias, this likely means that training was fairly straightforward, perhaps even 1To draw on our previous experience with Decision Trees, this would be like performing training for fruit classifi- cation where we provide the system with features that include the color of the soil, the rockiness of the soil, the average rainfall over 60 days, the average air temperature, etc. You can easily see that the average rainfall over 60 days has nothing to do with whether the fruit in question is a grape or a pear. The algorithm, however, may discover a false correlation and begin to believe that pears only grow where there is low rainfall compared to grapes. 25",Book 4_2036060.pdf,26,"Here are the notes on the topic of balancing competing problems in building neural networks:

* **Balancing Competing Problems**
	+ We want to provide the model with all important features from the data to model the behavior.
	+ However, throwing all available data at the model can lead to:
		- Model complexity and increased processing requirements
		- Inclusion of irrelevant data, leading to:
			- Apparent correlations that are coincidental rather than real
			- Model decision making based on faulty criteria

* **Bias vs. Variance**
	+ **Bias**: measures how well the model learns vs. consistency
	+ High bias:
		- Training takes a long time
		- Low accuracy on training data
		- Consistent predictions (e.g., 74%-76% accuracy on real-world data)
	+ Low bias:
		- Training is straightforward
		- Higher accuracy on training data
	+ Example of high bias: a model that achieves 75% accuracy but cannot improve further
	+ Example of how bias can lead to incorrect correlations: considering irrelevant features (e.g., soil color, rainfall) in fruit classification"
"resulting in a model with 92% accuracy1. This seems far superior, but the model proves to be very inconsistent. In other words, when applied to real-world data, the accuracy averages out to be 90%, perhaps, but there are datasets where it is only 40% accurate, far worse than the high bias model. The other major issue that we are balancing is the variance . Variance here is related to but not the same as how we’ve used this word previously in this course. If a model has low variance , it is usually a very simple model. Lower variance seems as though it would be better since it will be faster and more efficient, but if it is too simple, it will be difficult to learn a useful set of parameters to make accurate predictions. Ahigh variance model will typically be more complex. Being more complex, it has the potential to better map more complex features of our data. If it is too complex, however, it is very easy to overfit our data. In this case, an overly complex model will likely begin to memorize the training data rather than learn to make predictions. 1The actual accuracy doesn’t matter here. The point is that it is much more accurate than the high bias model. 26",Book 4_2036060.pdf,27,"Here are the notes on the topic of model accuracy and bias-variance tradeoff:

**Model Accuracy and Bias-Variance Tradeoff**
=============================================

**Model Comparison**
-------------------

* **High-Bias Model**: lower accuracy (e.g., 60%)
* **Low-Bias Model**: higher accuracy (e.g., 92%), but inconsistent and sensitive to dataset (accuracy ranges from 40% to 90%)

**Variance**
------------

* **Low-Variance Model**: simple, fast, and efficient, but may not learn useful parameters for accurate predictions
* **High-Variance Model**: complex, able to map complex features, but may overfit training data and memorize rather than learn to make predictions

**Key Concepts**
----------------

* **Bias**: error due to simplifying assumptions (high-bias model)
* **Variance**: error due to sensitivity to specific datasets (high-variance model)
* **Tradeoff**: balancing bias and variance to achieve optimal model performance"
"Let’s take what we’ve said about bias and variance and clearly state more formal definitions: •Bias is a measure of the difficulty a linear model has in learning or fitting a non-linear dataset. •V ariance has to do with the overall flexibility of the model. More flexibility seems good, but too much flexibility means that we are memorizing. In case you have not realized it already, working with machine learning techniques is very much an empirical1science. 1Empirical implies that results are determined through experimentation. Compare this to mathematics generally. The reason that we know that the area of a sphere is4 3𝜋𝑟3is not a matter of experimentation. Instead, rigorous proofs have been developed that prove that this is true for all spheres, not just a few specific spheres. Empirical fields, such as machine learning, require experimentation to determine best-practice methods. There are no proofs available, so instead what is ”best” is typically determined by the consensus of the community experimenting with these problems. 27",Book 4_2036060.pdf,28,"**Machine Learning: Bias and Variance**
=====================================

**Definitions**
-------------

* **Bias**: Measure of a linear model's difficulty in learning or fitting a non-linear dataset.
* **Variance**: Measure of a model's overall flexibility; high flexibility can lead to **memorization**.

**Machine Learning as an Empirical Science**
-----------------------------------------

* **Empirical**: Results determined through **experimentation**, unlike mathematics which relies on **rigorous proofs**.
* In machine learning, **best-practice methods** are determined by **consensus of the community** through experimentation, as there are no **proofs** available.

**Key Concepts**
----------------

* **Linear model**: A model that can be represented by a straight line.
* **Non-linear dataset**: A dataset that cannot be represented by a straight line.
* **Memorization**: When a model is too flexible and memorizes the training data rather than generalizing to new data."
"It can help to understand how these terms relate and what they describe by looking at a more visual example. In the slide, we have three images. The image to the left shows the plot of a series of data that we have for which we would like to create a model and perform predictions. The data has been split into a training set and a testing set. On the right we look at the performance of two models, visualized by the red line. In the top model, we can see that the model is very reliable and has almost no variation. It is always a little bit wrong, but it is always wrong by nearly the identical amount. This is a very high bias model. An example would be a linear regression. The model isn’t very flexible, but it’s predictions are very reliable. On the bottom right we have a second, much lower bias model. This model is very flexible. When we train the model it generates predictions that follow the red line. Notice that while there is more flexibility (lower bias), the variance in accuracy is much higher. Sometimes the model is exactly right with no loss at all. Other times it is very far from the test data. While we are usually trying to balance these two things and often have to trade off one for the other, ideally we would be able to find a model that exhibits both low bias and low variance. Ideal solutions of this sort can be very difficult to find with complex data. 28",Book 4_2036060.pdf,29,"**Model Evaluation: Bias and Variance**
=====================================

### Key Concepts
* **Bias**: Measure of how far off a model's predictions are from the actual values on average
* **Variance**: Measure of how scattered a model's predictions are from each other

### Visual Example
* Three images:
	+ Left: Plot of data split into training and testing sets
	+ Right:
		- Top: High **bias** model (e.g., linear regression)
			- Reliable predictions, always a little wrong by nearly the same amount
			- Limited flexibility
		- Bottom: Low **bias** model
			- Very flexible, but predictions have high **variance**
			- Sometimes exactly right, sometimes far from test data

### Goal
* Find a model that balances **bias** and **variance** to achieve both reliability and flexibility"
"What Are Rules? When we say that the algorithm will give us rules, what exactly do we mean? You might think, “If it’s round and if it’s red, it’s an apple.” While this is a set of rules, it is a very high-level set of rules. “Red” and “round” are very high-level abstractions. A computer would have to understand what red means and what round means before rules like this could ever be generated1. Even so, this is effectively what’s happening at a mathematics level. What if we have a lot of facts about some problem and we are able to transform those facts into numbers? What if we use those numbers to create, not one regression analysis, but multiple simul- taneous regression analyses? This is at the heart of what deep learning means today. When we talk about deep learning, we need to provide a set of features that will be used for learning. These features are the facts that we will feed in. More specifically, the features will ultimately be represented as multidimensional vectors (arrays of values). When we try to transform that data from a set of features to some set of predictions (possibly cate- gories), we are coming up with labels. In fact, think of it this way: We are trying to come up with an equation that, when we feed the features into it, it will transform the features into a label. What do we mean by transform? Well, remember 𝑦 = 𝑚𝑥+𝑏 . This formula takes a value 𝑥and translates or transforms it into a corresponding value for 𝑦. That’s it! Except that our vectors might have 10,000 features! Consider this formula: 1Never mind that the computer doesn’t know what an apple is! 29",Book 4_2036060.pdf,30,"Here are the notes on ""What Are Rules?"" in advanced bullet-point markdown format:

**What Are Rules?**
=====================

* **Definition of Rules**: When we say that the algorithm will give us rules, we refer to a set of high-level abstractions that enable a computer to understand and make predictions or classifications.
* **Example of High-Level Rules**: ""If it's round and if it's red, it's an apple.""
	+ However, a computer would need to understand what ""red"" and ""round"" mean before generating rules like this.

**Deep Learning**
===============

* **Transforming Facts into Numbers**: We can transform many facts about a problem into numbers, enabling multiple simultaneous regression analyses.
* **Features and Labels**: In deep learning, we need to provide a set of **features** (facts) that will be used for learning. These features are represented as **multidimensional vectors** (arrays of values).
* **Transforming Features into Labels**: We try to come up with an equation that transforms the features into **labels** (predictions or categories).

**Mathematical Representation**
=============================

* **Simple Linear Regression**: `y = mx + b` (a simple formula that takes a value `x` and transforms it into a corresponding value for `y`)
* **Deep Learning Analogy**: Our vectors might have 10,000 features!"
